"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT031249","hsa","hsa","hsa-miR-19b-3p","WEE1","0","0","0","0","1","0","0","0","1","1"
"MIRT031250","hsa","hsa","hsa-miR-19b-3p","TOM1L2","0","0","0","0","1","0","0","0","1","1"
"MIRT031251","hsa","hsa","hsa-miR-19b-3p","MEF2D","0","0","0","0","1","0","0","0","1","1"
"MIRT031252","hsa","hsa","hsa-miR-19b-3p","USP37","0","0","0","0","1","0","0","1","2","4"
"MIRT031253","hsa","hsa","hsa-miR-19b-3p","ACVR1","0","0","0","0","1","0","0","0","1","1"
"MIRT031254","hsa","hsa","hsa-miR-19b-3p","SMYD2","0","0","0","0","1","0","0","0","1","1"
"MIRT031255","hsa","hsa","hsa-miR-19b-3p","DCAF7","0","0","0","0","1","0","0","1","2","4"
"MIRT031256","hsa","hsa","hsa-miR-19b-3p","MREG","0","0","0","0","1","0","0","0","1","1"
"MIRT031257","hsa","hsa","hsa-miR-19b-3p","GFOD1","0","0","0","0","1","0","0","0","1","1"
"MIRT031258","hsa","hsa","hsa-miR-19b-3p","SEMA6B","0","0","0","0","1","0","0","0","1","1"
"MIRT031259","hsa","hsa","hsa-miR-19b-3p","SERINC3","0","0","0","0","1","0","0","1","2","10"
"MIRT031260","hsa","hsa","hsa-miR-19b-3p","RRAS2","0","0","0","0","1","0","0","1","2","2"
"MIRT031261","hsa","hsa","hsa-miR-19b-3p","ESYT1","0","0","0","0","1","0","0","1","2","3"
"MIRT031262","hsa","hsa","hsa-miR-19b-3p","EPC1","0","0","0","0","1","0","0","0","1","1"
"MIRT031263","hsa","hsa","hsa-miR-19b-3p","WDR26","0","0","0","0","1","0","0","1","2","4"
"MIRT031264","hsa","hsa","hsa-miR-19b-3p","PSAP","0","0","0","0","1","0","0","0","1","2"
"MIRT031265","hsa","hsa","hsa-miR-19b-3p","SEL1L3","0","0","0","0","1","0","0","0","1","1"
"MIRT031266","hsa","hsa","hsa-miR-19b-3p","JARID2","0","0","0","0","1","0","0","0","1","2"
"MIRT031267","hsa","hsa","hsa-miR-19b-3p","RAB1A","0","0","0","0","1","0","0","1","2","3"
"MIRT031268","hsa","hsa","hsa-miR-19b-3p","RHEBL1","0","0","0","0","1","0","0","0","1","1"
"MIRT031269","hsa","hsa","hsa-miR-19b-3p","CREBL2","0","0","0","0","1","0","0","1","2","9"
"MIRT031270","hsa","hsa","hsa-miR-19b-3p","CPPED1","0","0","0","0","1","0","0","0","1","1"
"MIRT031271","hsa","hsa","hsa-miR-19b-3p","STK38","0","0","0","0","1","0","0","1","2","4"
"MIRT031272","hsa","hsa","hsa-miR-19b-3p","DDX6","0","0","0","0","1","0","0","1","2","5"
"MIRT031273","hsa","hsa","hsa-miR-19b-3p","SPATA2","0","0","0","0","1","0","0","1","2","4"
"MIRT031274","hsa","hsa","hsa-miR-19b-3p","CCND2","0","0","0","0","1","0","0","1","2","9"
"MIRT031275","hsa","hsa","hsa-miR-19b-3p","CNOT6","0","0","0","0","1","0","0","0","1","2"
"MIRT031276","hsa","hsa","hsa-miR-19b-3p","ALG2","0","0","0","0","1","0","0","0","1","2"
"MIRT031277","hsa","hsa","hsa-miR-19b-3p","BLCAP","0","0","0","0","1","0","0","1","2","11"
"MIRT031278","hsa","hsa","hsa-miR-19b-3p","CNOT4","0","0","0","0","1","0","0","1","2","6"
"MIRT031279","hsa","hsa","hsa-miR-19b-3p","RASSF2","0","0","0","0","1","0","0","0","1","2"
"MIRT031280","hsa","hsa","hsa-miR-19b-3p","ARHGAP11A","0","0","0","0","1","0","0","0","1","1"
"MIRT031281","hsa","hsa","hsa-miR-19b-3p","VAMP3","0","0","0","0","1","0","0","0","1","2"
"MIRT031282","hsa","hsa","hsa-miR-19b-3p","PTPN4","0","0","0","0","1","0","0","0","1","1"
"MIRT031283","hsa","hsa","hsa-miR-19b-3p","PRUNE2","0","0","0","0","1","0","0","1","2","3"
"MIRT031284","hsa","hsa","hsa-miR-19b-3p","CPD","0","0","0","0","1","0","0","0","1","1"
"MIRT031285","hsa","hsa","hsa-miR-19b-3p","FAT3","0","0","0","0","1","0","0","0","1","1"
"MIRT031286","hsa","hsa","hsa-miR-19b-3p","ZNF521","0","0","0","0","1","0","0","0","1","1"
"MIRT031287","hsa","hsa","hsa-miR-19b-3p","CAMSAP1","0","0","0","0","1","0","0","1","2","3"
"MIRT031288","hsa","hsa","hsa-miR-19b-3p","TNRC6B","0","0","0","0","1","0","0","0","1","2"
"MIRT031289","hsa","hsa","hsa-miR-19b-3p","CGN","0","0","0","0","1","0","0","0","1","1"
"MIRT031290","hsa","hsa","hsa-miR-19b-3p","IMPDH1","0","0","0","0","1","0","0","0","1","2"
"MIRT031291","hsa","hsa","hsa-miR-19b-3p","SHCBP1","0","0","0","0","1","0","0","0","1","2"
"MIRT031292","hsa","hsa","hsa-miR-19b-3p","OTUD1","0","0","0","0","1","0","0","0","1","2"
"MIRT031293","hsa","hsa","hsa-miR-19b-3p","LPHN2","0","0","0","0","1","0","0","0","1","1"
"MIRT031294","hsa","hsa","hsa-miR-19b-3p","E2F8","0","0","0","0","1","0","0","1","2","4"
"MIRT031295","hsa","hsa","hsa-miR-19b-3p","TAF4","0","0","0","0","1","0","0","0","1","2"
"MIRT031296","hsa","hsa","hsa-miR-19b-3p","ATXN7L1","0","0","0","0","1","0","0","0","1","1"
"MIRT031297","hsa","hsa","hsa-miR-19b-3p","ATF2","0","0","0","0","1","0","0","0","1","1"
"MIRT031298","hsa","hsa","hsa-miR-19b-3p","SMARCA2","0","0","0","0","1","0","0","0","1","2"
"MIRT031299","hsa","hsa","hsa-miR-19b-3p","RNF11","0","0","0","0","1","0","0","1","2","7"
"MIRT031300","hsa","hsa","hsa-miR-19b-3p","LONRF1","0","0","0","0","1","0","0","1","2","4"
"MIRT031301","hsa","hsa","hsa-miR-19b-3p","RNF111","0","0","0","0","1","0","0","0","1","2"
"MIRT031302","hsa","hsa","hsa-miR-19b-3p","HBP1","0","0","0","0","1","0","0","1","2","5"
"MIRT031303","hsa","hsa","hsa-miR-19b-3p","KLF10","0","0","0","0","1","0","0","0","1","1"
"MIRT050627","hsa","hsa","hsa-miR-19b-3p","AP2B1","0","0","0","0","1","0","0","0","1","1"
